Neighborhood,Latitude,Longitude
Usaquén,4.692590000000052,-74.03008999999997
Chapinero,4.638480000000072,-74.06020999999998
Santa Fe,4.594590000000039,-74.06404999999995
San Cristóbal,4.576430000000073,-74.09313999999995
Usme,4.4982800000000225,-74.10744999999997
Tunjuelito,4.561820000000068,-74.12733999999995
Bosa,4.609740000000045,-74.18279999999999
Kennedy,4.627480000000048,-74.17021999999997
Fontibón,4.686370000000068,-74.15099999999995
Engativá,4.701270000000022,-74.11268999999999
Suba,4.734380000000044,-74.08562999999998
Barrios Unidos,4.669710000000066,-74.07784999999996
Teusaquillo,4.623290000000054,-74.07224999999994
Mártires,4.617910000000052,-74.07846999999998
Antonio Nariño,4.596580000000074,-74.11201999999997
Puente Aranda,4.633340000000032,-74.10627999999997
La Candelaria,4.594370000000026,-74.07688999999993
Rafael Uribe,4.576500000000067,-74.11516999999998
Ciudad Bolívar,4.553670000000068,-74.14647999999994
